Dataset,Ridge,MAE,RMSE,MAPE
silesia.tar,0.00000001,59.840439,76.111096,0.898035
silesia.tar,0.00010000,62.877015,77.920709,0.937974
silesia.tar,1.00000000,64.517423,81.676897,0.936514
silesia.tar,10.00000000,60.395033,76.936329,0.940433
silesia.tar,6.33025995,58.767448,74.726768,0.906197
uiq-32.bin,0.00000001,72.085850,91.132023,1.156330
uiq-32.bin,0.00010000,74.709923,96.497640,1.174199
uiq-32.bin,1.00000000,75.246781,96.285060,1.172885
uiq-32.bin,10.00000000,70.357198,88.858215,1.189201
uiq-32.bin,0.00000003,69.863829,87.032940,1.176070
uiq2-16.bin,0.00000001,31.910166,42.007411,1.056432
uiq2-16.bin,0.00010000,33.602911,47.033559,1.048347
uiq2-16.bin,1.00000000,32.751760,43.062026,1.054711
uiq2-16.bin,10.00000000,30.623549,38.898100,1.045792
uiq2-16.bin,1.53728050,31.091927,39.253254,1.080340
uiq2-4.bin,0.00000001,4.426326,5.932859,0.610570
uiq2-4.bin,0.00010000,4.495357,6.655149,0.589575
uiq2-4.bin,1.00000000,4.351823,6.005484,0.587458
uiq2-4.bin,10.00000000,4.132068,5.535633,0.600329
uiq2-4.bin,6.33025995,4.227932,5.484089,0.632104
uiq2-8.bin,0.00000001,12.053637,15.677705,0.799075
uiq2-8.bin,0.00010000,12.115993,16.546702,0.792528
uiq2-8.bin,1.00000000,12.093336,17.182190,0.803851
uiq2-8.bin,10.00000000,11.366390,15.901843,0.794584
uiq2-8.bin,6.33025995,11.569577,15.404113,0.823284
vmlinux-5.10.tar,0.00000001,1.919391,2.284387,0.284826
vmlinux-5.10.tar,0.00010000,1.943097,2.400467,0.285178
vmlinux-5.10.tar,1.00000000,1.916086,2.326702,0.280881
vmlinux-5.10.tar,10.00000000,1.838428,2.204695,0.285888
vmlinux-5.10.tar,1.86339472,1.796679,2.150402,0.280894
AUFNIRA_z3.637557.smt2,0.00000001,91.834658,101.462983,7.837093
AUFNIRA_z3.637557.smt2,0.00010000,92.947127,105.425498,6.726738
AUFNIRA_z3.637557.smt2,1.00000000,87.974810,99.317599,7.519241
AUFNIRA_z3.637557.smt2,10.00000000,89.851686,100.748800,7.456308
AUFNIRA_z3.637557.smt2,8.21201319,93.451630,104.303550,7.183917
LRA_formula_277.smt2,0.00000001,0.323280,0.329438,0.107855
LRA_formula_277.smt2,0.00010000,0.318250,0.322370,0.113810
LRA_formula_277.smt2,1.00000000,0.322938,0.328755,0.109619
LRA_formula_277.smt2,10.00000000,0.314875,0.318406,0.112343
LRA_formula_277.smt2,2.34889640,0.315786,0.320830,0.113326
QF_AUFBV_891_sqlite3.smt2,0.00000001,9.871497,12.989098,4.723780
QF_AUFBV_891_sqlite3.smt2,0.00010000,10.310073,14.182599,4.328262
QF_AUFBV_891_sqlite3.smt2,1.00000000,10.177827,13.029781,6.749522
QF_AUFBV_891_sqlite3.smt2,10.00000000,9.227026,11.852235,4.898711
QF_AUFBV_891_sqlite3.smt2,0.00000001,9.675620,12.284551,4.087892
QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,0.00000001,0.893902,1.063725,0.129260
QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,0.00010000,0.994179,1.197517,0.131788
QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,1.00000000,0.925319,1.124502,0.126817
QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,10.00000000,0.965569,1.184074,0.127466
QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,0.08783507,0.965024,1.186527,0.128523
QF_BV_bench_3176.smt2,0.00000001,131.402655,152.659137,10.264299
QF_BV_bench_3176.smt2,0.00010000,138.213315,159.074702,9.893868
QF_BV_bench_3176.smt2,1.00000000,131.554117,152.331538,9.636271
QF_BV_bench_3176.smt2,10.00000000,132.004783,151.113423,9.718522
QF_BV_bench_3176.smt2,8.21201319,132.016094,149.744328,10.141021
QF_BV_bench_935.smt2,0.00000001,92.561587,96.026691,16.968765
QF_BV_bench_935.smt2,0.00010000,94.901768,99.622549,16.746087
QF_BV_bench_935.smt2,1.00000000,93.488654,97.361021,17.064701
QF_BV_bench_935.smt2,10.00000000,93.759792,96.832776,16.886823
QF_BV_bench_935.smt2,8.21201319,93.924174,97.227982,17.890129
QF_LIA_tightrhombus,0.00000001,0.548714,0.763966,0.772842
QF_LIA_tightrhombus,0.00010000,0.612803,0.814769,0.703705
QF_LIA_tightrhombus,1.00000000,0.594398,0.796145,0.699055
QF_LIA_tightrhombus,10.00000000,0.553965,0.764927,0.728525
QF_LIA_tightrhombus,1.42462730,0.553050,0.770180,0.646765
QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,0.00000001,0.778229,0.906541,0.055595
QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,0.00010000,0.748263,0.880705,0.055423
QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,1.00000000,0.738891,0.872203,0.054297
QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,10.00000000,0.736312,0.875148,0.054939
QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,1.03580020,0.720931,0.862388,0.051048
QF_NRA_hong_9.smt2,0.00000001,0.008925,0.016330,0.002062
QF_NRA_hong_9.smt2,0.00010000,0.008635,0.013192,0.002115
QF_NRA_hong_9.smt2,1.00000000,0.009737,0.018623,0.002163
QF_NRA_hong_9.smt2,10.00000000,0.019492,0.025275,0.004798
QF_NRA_hong_9.smt2,0.00000001,0.009522,0.017600,0.002165
QF_RDL_orb08_888.smt2,0.00000001,0.285502,0.352132,0.030546
QF_RDL_orb08_888.smt2,0.00010000,0.262401,0.333325,0.028706
QF_RDL_orb08_888.smt2,1.00000000,0.265549,0.337949,0.028689
QF_RDL_orb08_888.smt2,10.00000000,0.265239,0.337624,0.028401
